p1_rivalry_score,p2_common_opponents_score,p1_elo,p1_form_win_percentage,ranking_diff,match_competitiveness,p2_elo,p1_ranking,p1_surface_specialization_score,p2_form_wins,p2_form_losses,p2_surface_specialization_score,p2_form_win_percentage,ranking_ratio,p2_pts,p1_form_recent_score,p2_ranking,common_opponents_count,p1_pts,elo_diff,p2_form_recent_score,p2_strength_of_schedule_score,p1_form_wins,p1_strength_of_schedule_score,p1_current_streak_count,p1_form_losses,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
5.0428,0.23,1596,60.0,147.0,0,1662,200.0,0.47,13.0,7.0,0.49,65.0,3.7037037037037037,175.0,1.34,53.0,3,132.0,-66,1.36,0.17,12.0,0.18,1,8.0,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
0.0,0.28,1769,75.0,0.0,3,1697,98.0,0.56,13.0,7.0,0.51,65.0,0.98989898989899,152.0,1.54,98.0,5,152.0,72,1.33,0.09,15.0,0.23,6,5.0,Clay,Excelente,victorias,Buena,victorias,player2,True,False,False
5.0456,0.0,1639,55.0,-4.0,3,1699,77.0,0.53,13.0,7.0,0.4,65.0,0.9390243902439024,159.0,1.35,81.0,2,161.0,-60,1.35,0.0,11.0,0.2,1,9.0,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
10.0108,0.17,1762,65.0,0.0,3,1610,98.0,0.65,10.0,10.0,0.5,50.0,0.98989898989899,152.0,1.31,98.0,5,152.0,152,1.25,0.26,13.0,0.27,1,7.0,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
15.0396,0.22,1633,55.0,69.0,1,1637,167.0,0.54,11.0,9.0,0.5,55.0,1.6868686868686869,152.0,1.29,98.0,5,137.0,-4,1.29,0.26,11.0,0.26,1,9.0,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
2.5109,0.15,1574,40.0,-14.0,2,1653,77.0,0.5,11.0,9.0,0.51,55.0,0.8369565217391305,155.0,1.25,91.0,2,161.0,-79,1.33,0.26,8.0,0.27,1,12.0,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
0.0,0.0,1622,50.0,-92.0,1,1486,62.0,0.49,2.0,4.0,0.5,33.3,0.4,139.0,1.29,154.0,0,169.0,136,1.18,0.0,10.0,0.21,-1,10.0,Clay,Regular,derrotas,Mala,derrotas,player1,True,False,False
7.5113,0.4,1632,50.0,4.0,3,1590,81.0,0.52,9.0,11.0,0.52,45.0,1.0384615384615385,161.0,1.22,77.0,7,159.0,42,1.2,0.12,10.0,0.12,-1,10.0,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
4.5,0.0,1861,80.0,74.0,1,1704,202.0,0.0,9.0,11.0,0.0,45.0,1.565891472868217,144.0,1.88,128.0,3,132.0,157,1.44,0.27,16.0,0.27,5,4.0,Grass,Excelente,victorias,Regular,derrotas,player2,False,True,False
0.0,0.0,1685,60.0,27.0,2,1793,52.0,0.33,14.0,6.0,0.0,70.0,2.0,215.0,1.58,25.0,3,176.0,-108,1.63,0.27,12.0,0.27,-1,8.0,Grass,Buena,derrotas,Buena,derrotas,player1,False,True,False
17.7285,0.08,1719,45.0,102.0,0,1757,154.0,0.54,8.0,12.0,0.39,40.0,2.9056603773584904,176.0,1.4,52.0,11,139.0,-38,1.37,0.27,9.0,0.27,1,11.0,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
0.0,-0.0,1757,70.0,-119.0,0,1942,81.0,0.0,13.0,7.0,0.0,65.0,0.40298507462686567,132.0,1.69,200.0,1,159.0,-185,1.74,0.27,14.0,0.23,-1,6.0,Grass,Buena,derrotas,Buena,derrotas,player2,False,True,False
41.5449,0.05,1708,40.0,-99.0,1,1798,77.0,0.0,12.0,8.0,0.44,60.0,0.4350282485875706,135.0,1.34,176.0,6,161.0,-90,1.58,0.27,8.0,0.27,-5,12.0,Grass,Regular,derrotas,Buena,victorias,player1,False,True,False
10.0367,0.06,1748,60.0,-1.0,3,1702,80.0,0.53,10.0,10.0,0.0,50.0,0.975609756097561,159.0,1.56,81.0,7,159.0,46,1.43,0.27,12.0,0.27,2,8.0,Grass,Buena,victorias,Regular,derrotas,player2,False,True,False
0.0,-0.0,1648,45.0,-84.0,1,1666,98.0,0.4,11.0,9.0,0.0,55.0,0.5355191256830601,134.0,1.56,182.0,2,152.0,-18,1.66,0.27,9.0,0.27,2,11.0,Grass,Regular,victorias,Regular,victorias,player2,False,True,False
14.826500000000001,0.0,1741,55.0,189.0,0,1764,197.0,0.56,16.0,4.0,0.43,80.0,21.88888888888889,319.0,1.51,8.0,3,132.0,-23,1.63,0.27,11.0,0.27,-1,9.0,Grass,Regular,derrotas,Excelente,derrotas,player2,False,True,False
0.0,-0.0,1673,60.0,58.0,1,1676,197.0,0.35,12.0,8.0,0.45,60.0,1.4071428571428573,142.0,1.64,139.0,1,132.0,-3,1.6,0.19,12.0,0.21,1,8.0,Grass,Buena,victorias,Buena,victorias,player1,False,True,False
