p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
879.3866167535423,-1,1.25,107.0,1612,0.57,1467,0.0,57.88694964758413,0.27,-2,0,0.0,0.0,2.0,0.48,-338.5413140022392,0.0,40.0,0.7644301934717853,506.0,145,0,0.0,0.0,45.292658934555746,Clay,Regular,derrotas,Mala,derrotas,player1,True,False,False
1134.0,-3,1.16,124.0,1533,0.58,1613,0.49,13.0,0.26,-5,0,0.23,0.5,12.0,0.5,-681.0,0.2,30.0,0.3991189427312775,453.0,-80,3,1.2,40.0,44.43858252644143,Clay,Mala,derrotas,Regular,derrotas,player2,True,False,False
301.0,-3,1.35,328.0,1711,0.65,1602,0.64,176.0,0.27,-1,0,0.0,0.55,10.0,0.58,-123.0,0.35,65.0,0.5894039735099338,178.0,109,2,1.24,50.0,61.128542671523476,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
371.0,-1,1.3,67.0,1644,0.6,1672,0.63,131.0,0.23,-1,0,0.34,0.53,9.0,0.52,208.0,0.29,60.0,1.5564516129032258,579.0,-28,4,1.27,55.0,53.96618527250077,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
409.0,-1,1.24,64.0,1628,0.6,1676,0.62,116.0,0.19,-1,0,0.43,0.52,10.0,0.51,181.0,0.0,50.0,1.4390243902439024,590.0,-48,6,1.24,50.0,52.043284798920745,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
620.0,-1,1.19,125.0,1695,0.63,1577,0.6,58.0,0.23,-4,0,0.34,0.48,10.0,0.56,-233.0,0.59,55.0,0.6231884057971014,387.0,118,12,1.13,50.0,28.816890493998127,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
293.0,-3,1.25,126.0,1677,0.63,1699,0.64,179.0,0.12,-1,1,0.22,0.5,7.0,0.56,92.0,0.15,55.0,1.3095238095238095,385.0,-22,7,1.3,65.0,73.06805892313221,Clay,Regular,derrotas,Buena,derrotas,player1,True,False,False
1149.0,2,1.34,150.0,1629,0.63,1472,0.53,11.0,0.2,-2,0,0.15,0.33,14.0,0.53,-814.0,0.3,55.0,0.29130434782608694,335.0,157,3,1.11,30.0,43.06321758324543,Clay,Regular,victorias,Mala,derrotas,player1,True,False,False
106.0,-1,1.3,546.0,1779,0.63,1680,0.67,729.0,0.27,-1,2,0.15,0.56,13.0,0.69,33.0,0.22,65.0,1.2990654205607477,139.0,99,5,1.14,35.0,37.196702956616825,Clay,Buena,derrotas,Mala,derrotas,player2,True,False,False
118.0,-1,1.3,433.46268198857894,1709,0.0,1699,0.67,681.0,0.27,-1,0,0.48,0.6,10.0,0.62,186.70419683882258,0.26,60.0,2.634492909997052,299.1677326723063,10,4,1.25,50.0,21.07808736479709,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
